Name,type,abilitie(s),HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Weight (Kg),Height (m)
zangoose,normal,"immunity, toxic-boost",73,115,60,60,60,90,403,1.3
seviper,poison,"shed-skin, infiltrator",73,100,60,100,60,65,525,2.7
lunatone,"rock, psychic",levitate,90,55,65,95,85,70,1680,1.0
solrock,"rock, psychic",levitate,90,95,85,55,65,70,1540,1.2
barboach,"water, ground","oblivious, anticipation, hydration",50,48,43,46,41,60,19,0.4
whiscash,"water, ground","oblivious, anticipation, hydration",110,78,73,76,71,60,236,0.9
corphish,water,"hyper-cutter, shell-armor, adaptability",43,80,65,50,35,35,115,0.6
crawdaunt,"water, dark","hyper-cutter, shell-armor, adaptability",63,120,85,90,55,55,328,1.1
baltoy,"ground, psychic",levitate,40,40,55,40,70,55,215,0.5
claydol,"ground, psychic",levitate,60,70,105,70,120,75,1080,1.5
lileep,"rock, grass","suction-cups, storm-drain",66,41,77,61,87,23,238,1.0
cradily,"rock, grass","suction-cups, storm-drain",86,81,97,81,107,43,604,1.5
anorith,"rock, bug","battle-armor, swift-swim",45,95,50,40,50,75,125,0.7
armaldo,"rock, bug","battle-armor, swift-swim",75,125,100,70,80,45,682,1.5
feebas,water,"swift-swim, oblivious, adaptability",20,15,20,10,55,80,74,0.6
milotic,water,"marvel-scale, competitive, cute-charm",95,60,79,100,125,81,1620,6.2
castform,normal,forecast,70,70,70,70,70,70,8,0.3
kecleon,normal,"color-change, protean",60,90,70,60,120,40,220,1.0
shuppet,ghost,"insomnia, frisk, cursed-body",44,75,35,63,33,45,23,0.6
banette,ghost,"insomnia, frisk, cursed-body",64,115,65,83,63,65,125,1.1
duskull,ghost,"levitate, frisk",20,40,90,30,90,25,150,0.8
dusclops,ghost,"pressure, frisk",40,70,130,60,130,25,306,1.6
tropius,"grass, flying","chlorophyll, solar-power, harvest",99,68,83,72,87,51,1000,2.0
chimecho,psychic,levitate,75,50,80,95,90,65,10,0.6
absol,dark,"pressure, super-luck, justified",65,130,60,75,60,75,470,1.2
wynaut,psychic,"shadow-tag, telepathy",95,23,48,23,48,23,140,0.6
snorunt,ice,"inner-focus, ice-body, moody",50,50,50,50,50,50,168,0.7
glalie,ice,"inner-focus, ice-body, moody",80,80,80,80,80,80,2565,1.5
spheal,"ice, water","thick-fat, ice-body, oblivious",70,40,50,55,50,25,395,0.8
sealeo,"ice, water","thick-fat, ice-body, oblivious",90,60,70,75,70,45,876,1.1
walrein,"ice, water","thick-fat, ice-body, oblivious",110,80,90,95,90,65,1506,1.4
clamperl,water,"shell-armor, rattled",35,64,85,74,55,32,525,0.4
huntail,water,"swift-swim, water-veil",55,104,105,94,75,52,270,1.7
gorebyss,water,"swift-swim, hydration",55,84,105,114,75,52,226,1.8
relicanth,"water, rock","swift-swim, rock-head, sturdy",100,90,130,45,65,55,234,1.0
luvdisc,water,"swift-swim, hydration",43,30,55,40,65,97,87,0.6
bagon,dragon,"rock-head, sheer-force",45,75,60,40,30,50,421,0.6
shelgon,dragon,"rock-head, overcoat",65,95,100,60,50,50,1105,1.1
salamence,"dragon, flying","intimidate, moxie",95,135,80,110,80,100,1026,1.5
beldum,"steel, psychic","clear-body, light-metal",40,55,80,35,60,30,952,0.6
metang,"steel, psychic","clear-body, light-metal",60,75,100,55,80,50,2025,1.2
metagross,"steel, psychic","clear-body, light-metal",80,135,130,95,90,70,5500,1.6
regirock,rock,"clear-body, sturdy",80,100,200,50,100,50,2300,1.7
regice,ice,"clear-body, ice-body",80,50,100,100,200,50,1750,1.8
registeel,steel,"clear-body, light-metal",80,75,150,75,150,50,2050,1.9
latias,"dragon, psychic",levitate,80,80,90,110,130,110,400,1.4
latios,"dragon, psychic",levitate,80,90,80,130,110,110,600,2.0
kyogre,water,drizzle,100,100,90,150,140,90,3520,4.5
groudon,ground,drought,100,150,140,100,90,90,9500,3.5
rayquaza,"dragon, flying",air-lock,105,150,90,150,90,95,2065,7.0
jirachi,"steel, psychic",serene-grace,100,100,100,100,100,100,11,0.3
deoxys-normal,psychic,pressure,50,150,50,150,50,150,608,1.7
turtwig,grass,"overgrow, shell-armor",55,68,64,45,55,31,102,0.4
grotle,grass,"overgrow, shell-armor",75,89,85,55,65,36,970,1.1
torterra,"grass, ground","overgrow, shell-armor",95,109,105,75,85,56,3100,2.2
chimchar,fire,"blaze, iron-fist",44,58,44,58,44,61,62,0.5
monferno,"fire, fighting","blaze, iron-fist",64,78,52,78,52,81,220,0.9
infernape,"fire, fighting","blaze, iron-fist",76,104,71,104,71,108,550,1.2
piplup,water,"torrent, competitive",53,51,53,61,56,40,52,0.4
prinplup,water,"torrent, competitive",64,66,68,81,76,50,230,0.8
empoleon,"water, steel","torrent, competitive",84,86,88,111,101,60,845,1.7
starly,"normal, flying","keen-eye, reckless",40,55,30,30,30,60,20,0.3
staravia,"normal, flying","intimidate, reckless",55,75,50,40,40,80,155,0.6
staraptor,"normal, flying","intimidate, reckless",85,120,70,50,60,100,249,1.2
bidoof,normal,"simple, unaware, moody",59,45,40,35,40,31,200,0.5
bibarel,"normal, water","simple, unaware, moody",79,85,60,55,60,71,315,1.0
kricketot,bug,"shed-skin, run-away",37,25,41,25,41,25,22,0.3
kricketune,bug,"swarm, technician",77,85,51,55,51,65,255,1.0
shinx,electric,"rivalry, intimidate, guts",45,65,34,40,34,45,95,0.5
luxio,electric,"rivalry, intimidate, guts",60,85,49,60,49,60,305,0.9
luxray,electric,"rivalry, intimidate, guts",80,120,79,95,79,70,420,1.4
budew,"grass, poison","natural-cure, poison-point, leaf-guard",40,30,35,50,70,55,12,0.2
roserade,"grass, poison","natural-cure, poison-point, technician",60,70,65,125,105,90,145,0.9
cranidos,rock,"mold-breaker, sheer-force",67,125,40,30,30,58,315,0.9
rampardos,rock,"mold-breaker, sheer-force",97,165,60,65,50,58,1025,1.6
shieldon,"rock, steel","sturdy, soundproof",30,42,118,42,88,30,570,0.5
bastiodon,"rock, steel","sturdy, soundproof",60,52,168,47,138,30,1495,1.3
burmy,bug,"shed-skin, overcoat",40,29,45,29,45,36,34,0.2
wormadam-plant,"bug, grass","anticipation, overcoat",60,59,85,79,105,36,65,0.5
mothim,"bug, flying","swarm, tinted-lens",70,94,50,94,50,66,233,0.9
combee,"bug, flying","honey-gather, hustle",30,30,42,30,42,70,55,0.3
vespiquen,"bug, flying","pressure, unnerve",70,80,102,80,102,40,385,1.2
pachirisu,electric,"run-away, pickup, volt-absorb",60,45,70,45,90,95,39,0.4
buizel,water,"swift-swim, water-veil",55,65,35,60,30,85,295,0.7
floatzel,water,"swift-swim, water-veil",85,105,55,85,50,115,335,1.1
cherubi,grass,chlorophyll,45,35,45,62,53,35,33,0.4
cherrim,grass,flower-gift,70,60,70,87,78,85,93,0.5
shellos,water,"sticky-hold, storm-drain, sand-force",76,48,48,57,62,34,63,0.3
gastrodon,"water, ground","sticky-hold, storm-drain, sand-force",111,83,68,92,82,39,299,0.9
ambipom,normal,"technician, pickup, skill-link",75,100,66,60,66,115,203,1.2
drifloon,"ghost, flying","aftermath, unburden, flare-boost",90,50,34,60,44,70,12,0.4
drifblim,"ghost, flying","aftermath, unburden, flare-boost",150,80,44,90,54,80,150,1.2
buneary,normal,"run-away, klutz, limber",55,66,44,44,56,85,55,0.4
lopunny,normal,"cute-charm, klutz, limber",65,76,84,54,96,105,333,1.2
mismagius,ghost,levitate,60,60,60,105,105,105,44,0.9
honchkrow,"dark, flying","insomnia, super-luck, moxie",100,125,52,105,52,71,273,0.9
glameow,normal,"limber, own-tempo, keen-eye",49,55,42,42,37,85,39,0.5
purugly,normal,"thick-fat, own-tempo, defiant",71,82,64,64,59,112,438,1.0
chingling,psychic,levitate,45,30,50,65,50,45,6,0.2
stunky,"poison, dark","stench, aftermath, keen-eye",63,63,47,41,41,74,192,0.4
skuntank,"poison, dark","stench, aftermath, keen-eye",103,93,67,71,61,84,380,1.0
bronzor,"steel, psychic","levitate, heatproof, heavy-metal",57,24,86,24,86,23,605,0.5
bronzong,"steel, psychic","levitate, heatproof, heavy-metal",67,89,116,79,116,33,1870,1.3
bonsly,rock,"sturdy, rock-head, rattled",50,80,95,10,45,10,150,0.5
mime-jr,"psychic, fairy","soundproof, filter, technician",20,25,45,70,90,60,130,0.6
happiny,normal,"natural-cure, serene-grace, friend-guard",100,5,5,15,65,30,244,0.6
chatot,"normal, flying","keen-eye, tangled-feet, big-pecks",76,65,45,92,42,91,19,0.5
spiritomb,"ghost, dark","pressure, infiltrator",50,92,108,92,108,35,1080,1.0
gible,"dragon, ground","sand-veil, rough-skin",58,70,45,40,45,42,205,0.7
gabite,"dragon, ground","sand-veil, rough-skin",68,90,65,50,55,82,560,1.4
garchomp,"dragon, ground","sand-veil, rough-skin",108,130,95,80,85,102,950,1.9
munchlax,normal,"pickup, thick-fat, gluttony",135,85,40,40,85,5,1050,0.6
riolu,fighting,"steadfast, inner-focus, prankster",40,70,40,35,40,60,202,0.7
lucario,"fighting, steel","steadfast, inner-focus, justified",70,110,70,115,70,90,540,1.2
hippopotas,ground,"sand-stream, sand-force",68,72,78,38,42,32,495,0.8
hippowdon,ground,"sand-stream, sand-force",108,112,118,68,72,47,3000,2.0
skorupi,"poison, bug","battle-armor, sniper, keen-eye",40,50,90,30,55,65,120,0.8
drapion,"poison, dark","battle-armor, sniper, keen-eye",70,90,110,60,75,95,615,1.3
croagunk,"poison, fighting","anticipation, dry-skin, poison-touch",48,61,40,61,40,50,230,0.7
toxicroak,"poison, fighting","anticipation, dry-skin, poison-touch",83,106,65,86,65,85,444,1.3
carnivine,grass,levitate,74,100,72,90,72,46,270,1.4
finneon,water,"swift-swim, storm-drain, water-veil",49,49,56,49,61,66,70,0.4
lumineon,water,"swift-swim, storm-drain, water-veil",69,69,76,69,86,91,240,1.2
mantyke,"water, flying","swift-swim, water-absorb, water-veil",45,20,50,60,120,50,650,1.0
snover,"grass, ice","snow-warning, soundproof",60,62,50,62,60,40,505,1.0
abomasnow,"grass, ice","snow-warning, soundproof",90,92,75,92,85,60,1355,2.2
weavile,"dark, ice","pressure, pickpocket",70,120,65,45,85,125,340,1.1
magnezone,"electric, steel","magnet-pull, sturdy, analytic",70,70,115,130,90,60,1800,1.2
lickilicky,normal,"own-tempo, oblivious, cloud-nine",110,85,95,80,95,50,1400,1.7
rhyperior,"ground, rock","lightning-rod, solid-rock, reckless",115,140,130,55,55,40,2828,2.4
tangrowth,grass,"chlorophyll, leaf-guard, regenerator",100,100,125,110,50,50,1286,2.0
electivire,electric,"motor-drive, vital-spirit",75,123,67,95,85,95,1386,1.8
magmortar,fire,"flame-body, vital-spirit",75,95,67,125,95,83,680,1.6
togekiss,"fairy, flying","hustle, serene-grace, super-luck",85,50,95,120,115,80,380,1.5
yanmega,"bug, flying","speed-boost, tinted-lens, frisk",86,76,86,116,56,95,515,1.9
leafeon,grass,"leaf-guard, chlorophyll",65,110,130,60,65,95,255,1.0
glaceon,ice,"snow-cloak, ice-body",65,60,110,130,95,65,259,0.8
gliscor,"ground, flying","hyper-cutter, sand-veil, poison-heal",75,95,125,45,75,95,425,2.0
mamoswine,"ice, ground","oblivious, snow-cloak, thick-fat",110,130,80,70,60,80,2910,2.5
porygon-z,normal,"adaptability, download, analytic",85,80,70,135,75,90,340,0.9
gallade,"psychic, fighting","steadfast, sharpness, justified",68,125,65,65,115,80,520,1.6
probopass,"rock, steel","sturdy, magnet-pull, sand-force",60,55,145,75,150,40,3400,1.4
dusknoir,ghost,"pressure, frisk",45,100,135,65,135,45,1066,2.2
froslass,"ice, ghost","snow-cloak, cursed-body",70,80,70,80,70,110,266,1.3
rotom,"electric, ghost",levitate,50,50,77,95,77,91,3,0.3
uxie,psychic,levitate,75,75,130,75,130,95,3,0.3
mesprit,psychic,levitate,80,105,105,105,105,80,3,0.3
azelf,psychic,levitate,75,125,70,125,70,115,3,0.3
dialga,"steel, dragon","pressure, telepathy",100,120,120,150,100,90,6830,5.4
palkia,"water, dragon","pressure, telepathy",90,120,100,150,120,100,3360,4.2
heatran,"fire, steel","flash-fire, flame-body",91,90,106,130,106,77,4300,1.7
regigigas,normal,slow-start,110,160,110,80,110,100,4200,3.7
giratina-altered,"ghost, dragon","pressure, telepathy",150,100,120,100,120,90,7500,4.5
cresselia,psychic,levitate,120,70,110,75,120,85,856,1.5
phione,water,hydration,80,80,80,80,80,80,31,0.4
manaphy,water,hydration,100,100,100,100,100,100,14,0.3
darkrai,dark,bad-dreams,70,90,90,135,90,125,505,1.5
shaymin-land,grass,natural-cure,100,100,100,100,100,100,21,0.2
arceus,normal,multitype,120,120,120,120,120,120,3200,3.2
victini,"psychic, fire",victory-star,100,100,100,100,100,100,40,0.4
snivy,grass,"overgrow, contrary",45,45,55,45,55,63,81,0.6
servine,grass,"overgrow, contrary",60,60,75,60,75,83,160,0.8
serperior,grass,"overgrow, contrary",75,75,95,75,95,113,630,3.3
tepig,fire,"blaze, thick-fat",65,63,45,45,45,45,99,0.5
pignite,"fire, fighting","blaze, thick-fat",90,93,55,70,55,55,555,1.0
emboar,"fire, fighting","blaze, reckless",110,123,65,100,65,65,1500,1.6
oshawott,water,"torrent, shell-armor",55,55,45,63,45,45,59,0.5
dewott,water,"torrent, shell-armor",75,75,60,83,60,60,245,0.8
samurott,water,"torrent, shell-armor",95,100,85,108,70,70,946,1.5
patrat,normal,"run-away, keen-eye, analytic",45,55,39,35,39,42,116,0.5
watchog,normal,"illuminate, keen-eye, analytic",60,85,69,60,69,77,270,1.1
lillipup,normal,"vital-spirit, pickup, run-away",45,60,45,25,45,55,41,0.4
herdier,normal,"intimidate, sand-rush, scrappy",65,80,65,35,65,60,147,0.9
stoutland,normal,"intimidate, sand-rush, scrappy",85,110,90,45,90,80,610,1.2
purrloin,dark,"limber, unburden, prankster",41,50,37,50,37,66,101,0.4
liepard,dark,"limber, unburden, prankster",64,88,50,88,50,106,375,1.1
pansage,grass,"gluttony, overgrow",50,53,48,53,48,64,105,0.6
simisage,grass,"gluttony, overgrow",75,98,63,98,63,101,305,1.1
pansear,fire,"gluttony, blaze",50,53,48,53,48,64,110,0.6
simisear,fire,"gluttony, blaze",75,98,63,98,63,101,280,1.0
panpour,water,"gluttony, torrent",50,53,48,53,48,64,135,0.6
simipour,water,"gluttony, torrent",75,98,63,98,63,101,290,1.0
munna,psychic,"forewarn, synchronize, telepathy",76,25,45,67,55,24,233,0.6
musharna,psychic,"forewarn, synchronize, telepathy",116,55,85,107,95,29,605,1.1
pidove,"normal, flying","big-pecks, super-luck, rivalry",50,55,50,36,30,43,21,0.3
tranquill,"normal, flying","big-pecks, super-luck, rivalry",62,77,62,50,42,65,150,0.6
unfezant,"normal, flying","big-pecks, super-luck, rivalry",80,115,80,65,55,93,290,1.2
blitzle,electric,"lightning-rod, motor-drive, sap-sipper",45,60,32,50,32,76,298,0.8
zebstrika,electric,"lightning-rod, motor-drive, sap-sipper",75,100,63,80,63,116,795,1.6
roggenrola,rock,"sturdy, weak-armor, sand-force",55,75,85,25,25,15,180,0.4
boldore,rock,"sturdy, weak-armor, sand-force",70,105,105,50,40,20,1020,0.9
gigalith,rock,"sturdy, sand-stream, sand-force",85,135,130,60,80,25,2600,1.7
woobat,"psychic, flying","unaware, klutz, simple",65,45,43,55,43,72,21,0.4
swoobat,"psychic, flying","unaware, klutz, simple",67,57,55,77,55,114,105,0.9
drilbur,ground,"sand-rush, sand-force, mold-breaker",60,85,40,30,45,68,85,0.3
excadrill,"ground, steel","sand-rush, sand-force, mold-breaker",110,135,60,50,65,88,404,0.7
audino,normal,"healer, regenerator, klutz",103,60,86,60,86,50,310,1.1
timburr,fighting,"guts, sheer-force, iron-fist",75,80,55,25,35,35,125,0.6
gurdurr,fighting,"guts, sheer-force, iron-fist",85,105,85,40,50,40,400,1.2
conkeldurr,fighting,"guts, sheer-force, iron-fist",105,140,95,55,65,45,870,1.4
tympole,water,"swift-swim, hydration, water-absorb",50,50,40,50,40,64,45,0.5
palpitoad,"water, ground","swift-swim, hydration, water-absorb",75,65,55,65,55,69,170,0.8
seismitoad,"water, ground","swift-swim, poison-touch, water-absorb",105,95,75,85,75,74,620,1.5
throh,fighting,"guts, inner-focus, mold-breaker",120,100,85,30,85,45,555,1.3
sawk,fighting,"sturdy, inner-focus, mold-breaker",75,125,75,30,75,85,510,1.4
sewaddle,"bug, grass","swarm, chlorophyll, overcoat",45,53,70,40,60,42,25,0.3
swadloon,"bug, grass","leaf-guard, chlorophyll, overcoat",55,63,90,50,80,42,73,0.5
leavanny,"bug, grass","swarm, chlorophyll, overcoat",75,103,80,70,80,92,205,1.2
venipede,"bug, poison","poison-point, swarm, speed-boost",30,45,59,30,39,57,53,0.4
whirlipede,"bug, poison","poison-point, swarm, speed-boost",40,55,99,40,79,47,585,1.2
scolipede,"bug, poison","poison-point, swarm, speed-boost",60,100,89,55,69,112,2005,2.5
cottonee,"grass, fairy","prankster, infiltrator, chlorophyll",40,27,60,37,50,66,6,0.3
whimsicott,"grass, fairy","prankster, infiltrator, chlorophyll",60,67,85,77,75,116,66,0.7
petilil,grass,"chlorophyll, own-tempo, leaf-guard",45,35,50,70,50,30,66,0.5
lilligant,grass,"chlorophyll, own-tempo, leaf-guard",70,60,75,110,75,90,163,1.1
basculin-red-striped,water,"reckless, adaptability, mold-breaker",70,92,65,80,55,98,180,1.0
sandile,"ground, dark","intimidate, moxie, anger-point",50,72,35,35,35,65,152,0.7
krokorok,"ground, dark","intimidate, moxie, anger-point",60,82,45,45,45,74,334,1.0
krookodile,"ground, dark","intimidate, moxie, anger-point",95,117,80,65,70,92,963,1.5
darumaka,fire,"hustle, inner-focus",70,90,45,15,45,50,375,0.6
darmanitan-standard,fire,"sheer-force, zen-mode",105,140,55,30,55,95,929,1.3
maractus,grass,"water-absorb, chlorophyll, storm-drain",75,86,67,106,67,60,280,1.0
dwebble,"bug, rock","sturdy, shell-armor, weak-armor",50,65,85,35,35,55,145,0.3
crustle,"bug, rock","sturdy, shell-armor, weak-armor",70,105,125,65,75,45,2000,1.4
scraggy,"dark, fighting","shed-skin, moxie, intimidate",50,75,70,35,70,48,118,0.6
scrafty,"dark, fighting","shed-skin, moxie, intimidate",65,90,115,45,115,58,300,1.1
sigilyph,"psychic, flying","wonder-skin, magic-guard, tinted-lens",72,58,80,103,80,97,140,1.4
yamask,ghost,mummy,38,30,85,55,65,30,15,0.5
cofagrigus,ghost,mummy,58,50,145,95,105,30,765,1.7
tirtouga,"water, rock","solid-rock, sturdy, swift-swim",54,78,103,53,45,22,165,0.7
carracosta,"water, rock","solid-rock, sturdy, swift-swim",74,108,133,83,65,32,810,1.2
archen,"rock, flying",defeatist,55,112,45,74,45,70,95,0.5
archeops,"rock, flying",defeatist,75,140,65,112,65,110,320,1.4
trubbish,poison,"stench, sticky-hold, aftermath",50,50,62,40,62,65,310,0.6
garbodor,poison,"stench, weak-armor, aftermath",80,95,82,60,82,75,1073,1.9
zorua,dark,illusion,40,65,40,80,40,65,125,0.7
zoroark,dark,illusion,60,105,60,120,60,105,811,1.6
minccino,normal,"cute-charm, technician, skill-link",55,50,40,40,40,75,58,0.4
cinccino,normal,"cute-charm, technician, skill-link",75,95,60,65,60,115,75,0.5
gothita,psychic,"frisk, competitive, shadow-tag",45,30,50,55,65,45,58,0.4
gothorita,psychic,"frisk, competitive, shadow-tag",60,45,70,75,85,55,180,0.7
gothitelle,psychic,"frisk, competitive, shadow-tag",70,55,95,95,110,65,440,1.5
solosis,psychic,"overcoat, magic-guard, regenerator",45,30,40,105,50,20,10,0.3
duosion,psychic,"overcoat, magic-guard, regenerator",65,40,50,125,60,30,80,0.6
reuniclus,psychic,"overcoat, magic-guard, regenerator",110,65,75,125,85,30,201,1.0
ducklett,"water, flying","keen-eye, big-pecks, hydration",62,44,50,44,50,55,55,0.5
swanna,"water, flying","keen-eye, big-pecks, hydration",75,87,63,87,63,98,242,1.3
vanillite,ice,"ice-body, snow-cloak, weak-armor",36,50,50,65,60,44,57,0.4
vanillish,ice,"ice-body, snow-cloak, weak-armor",51,65,65,80,75,59,410,1.1
vanilluxe,ice,"ice-body, snow-warning, weak-armor",71,95,85,110,95,79,575,1.3
deerling,"normal, grass","chlorophyll, sap-sipper, serene-grace",60,60,50,40,50,75,195,0.6
sawsbuck,"normal, grass","chlorophyll, sap-sipper, serene-grace",80,100,70,60,70,95,925,1.9
emolga,"electric, flying","static, motor-drive",55,75,60,75,60,103,50,0.4
karrablast,bug,"swarm, shed-skin, no-guard",50,75,45,40,45,60,59,0.5
escavalier,"bug, steel","swarm, shell-armor, overcoat",70,135,105,60,105,20,330,1.0
foongus,"grass, poison","effect-spore, regenerator",69,55,45,55,55,15,10,0.2
amoonguss,"grass, poison","effect-spore, regenerator",114,85,70,85,80,30,105,0.6
frillish,"water, ghost","water-absorb, cursed-body, damp",55,40,50,65,85,40,330,1.2
jellicent,"water, ghost","water-absorb, cursed-body, damp",100,60,70,85,105,60,1350,2.2
alomomola,water,"healer, hydration, regenerator",165,75,80,40,45,65,316,1.2
joltik,"bug, electric","compound-eyes, unnerve, swarm",50,47,50,57,50,65,6,0.1
galvantula,"bug, electric","compound-eyes, unnerve, swarm",70,77,60,97,60,108,143,0.8
ferroseed,"grass, steel",iron-barbs,44,50,91,24,86,10,188,0.6
ferrothorn,"grass, steel","iron-barbs, anticipation",74,94,131,54,116,20,1100,1.0
klink,steel,"plus, minus, clear-body",40,55,70,45,60,30,210,0.3
klang,steel,"plus, minus, clear-body",60,80,95,70,85,50,510,0.6
klinklang,steel,"plus, minus, clear-body",60,100,115,70,85,90,810,0.6
tynamo,electric,levitate,35,55,40,45,40,60,3,0.2
eelektrik,electric,levitate,65,85,70,75,70,40,220,1.2
eelektross,electric,levitate,85,115,80,105,80,50,805,2.1
elgyem,psychic,"telepathy, synchronize, analytic",55,55,55,85,55,30,90,0.5
beheeyem,psychic,"telepathy, synchronize, analytic",75,75,75,125,95,40,345,1.0
litwick,"ghost, fire","flash-fire, flame-body, infiltrator",50,30,55,65,55,20,31,0.3
lampent,"ghost, fire","flash-fire, flame-body, infiltrator",60,40,60,95,60,55,130,0.6
chandelure,"ghost, fire","flash-fire, flame-body, infiltrator",60,55,90,145,90,80,343,1.0
axew,dragon,"rivalry, mold-breaker, unnerve",46,87,60,30,40,57,180,0.6
fraxure,dragon,"rivalry, mold-breaker, unnerve",66,117,70,40,50,67,360,1.0
haxorus,dragon,"rivalry, mold-breaker, unnerve",76,147,90,60,70,97,1055,1.8
cubchoo,ice,"snow-cloak, slush-rush, rattled",55,70,40,60,40,40,85,0.5
beartic,ice,"snow-cloak, slush-rush, swift-swim",95,130,80,70,80,50,2600,2.6
cryogonal,ice,levitate,80,50,50,95,135,105,1480,1.1
shelmet,bug,"hydration, shell-armor, overcoat",50,40,85,40,65,25,77,0.4
accelgor,bug,"hydration, sticky-hold, unburden",80,70,40,100,60,145,253,0.8
stunfisk,"ground, electric","static, limber, sand-veil",109,66,84,81,99,32,110,0.7
mienfoo,fighting,"inner-focus, regenerator, reckless",45,85,50,55,50,65,200,0.9
mienshao,fighting,"inner-focus, regenerator, reckless",65,125,60,95,60,105,355,1.4
druddigon,dragon,"rough-skin, sheer-force, mold-breaker",77,120,90,60,90,48,1390,1.6
golett,"ground, ghost","iron-fist, klutz, no-guard",59,74,50,35,50,35,920,1.0
golurk,"ground, ghost","iron-fist, klutz, no-guard",89,124,80,55,80,55,3300,2.8
pawniard,"dark, steel","defiant, inner-focus, pressure",45,85,70,40,40,60,102,0.5
bisharp,"dark, steel","defiant, inner-focus, pressure",65,125,100,60,70,70,700,1.6
bouffalant,normal,"reckless, sap-sipper, soundproof",95,110,95,40,95,55,946,1.6
rufflet,"normal, flying","keen-eye, sheer-force, hustle",70,83,50,37,50,60,105,0.5
braviary,"normal, flying","keen-eye, sheer-force, defiant",100,123,75,57,75,80,410,1.5
vullaby,"dark, flying","big-pecks, overcoat, weak-armor",70,55,75,45,65,60,90,0.5
mandibuzz,"dark, flying","big-pecks, overcoat, weak-armor",110,65,105,55,95,80,395,1.2
heatmor,fire,"gluttony, flash-fire, white-smoke",85,97,66,105,66,65,580,1.4
durant,"bug, steel","swarm, hustle, truant",58,109,112,48,48,109,330,0.3
deino,"dark, dragon",hustle,52,65,50,45,50,38,173,0.8
zweilous,"dark, dragon",hustle,72,85,70,65,70,58,500,1.4
hydreigon,"dark, dragon",levitate,92,105,90,125,90,98,1600,1.8
larvesta,"bug, fire","flame-body, swarm",55,85,55,50,55,60,288,1.1
volcarona,"bug, fire","flame-body, swarm",85,60,65,135,105,100,460,1.6
cobalion,"steel, fighting",justified,91,90,129,90,72,108,2500,2.1
terrakion,"rock, fighting",justified,91,129,90,72,90,108,2600,1.9
virizion,"grass, fighting",justified,91,90,72,90,129,108,2000,2.0
tornadus-incarnate,flying,"prankster, defiant",79,115,70,125,80,111,630,1.5
thundurus-incarnate,"electric, flying","prankster, defiant",79,115,70,125,80,111,610,1.5
reshiram,"dragon, fire",turboblaze,100,120,100,150,120,90,3300,3.2
zekrom,"dragon, electric",teravolt,100,150,120,120,100,90,3450,2.9
landorus-incarnate,"ground, flying","sand-force, sheer-force",89,125,90,115,80,101,680,1.5
kyurem,"dragon, ice",pressure,125,130,90,130,90,95,3250,3.0
keldeo-ordinary,"water, fighting",justified,91,72,90,129,90,108,485,1.4
meloetta-aria,"normal, psychic",serene-grace,100,77,77,128,128,90,65,0.6
genesect,"bug, steel",download,71,120,95,120,95,99,825,1.5
chespin,grass,"overgrow, bulletproof",56,61,65,48,45,38,90,0.4
quilladin,grass,"overgrow, bulletproof",61,78,95,56,58,57,290,0.7
chesnaught,"grass, fighting","overgrow, bulletproof",88,107,122,74,75,64,900,1.6
fennekin,fire,"blaze, magician",40,45,40,62,60,60,94,0.4
braixen,fire,"blaze, magician",59,59,58,90,70,73,145,1.0
delphox,"fire, psychic","blaze, magician",75,69,72,114,100,104,390,1.5
froakie,water,"torrent, protean",41,56,40,62,44,71,70,0.3
frogadier,water,"torrent, protean",54,63,52,83,56,97,109,0.6
greninja,"water, dark","torrent, protean",72,95,67,103,71,122,400,1.5
bunnelby,normal,"pickup, cheek-pouch, huge-power",38,36,38,32,36,57,50,0.4
diggersby,"normal, ground","pickup, cheek-pouch, huge-power",85,56,77,50,77,78,424,1.0
fletchling,"normal, flying","big-pecks, gale-wings",45,50,43,40,38,62,17,0.3
fletchinder,"fire, flying","flame-body, gale-wings",62,73,55,56,52,84,160,0.7
talonflame,"fire, flying","flame-body, gale-wings",78,81,71,74,69,126,245,1.2
scatterbug,bug,"shield-dust, compound-eyes, friend-guard",38,35,40,27,25,35,25,0.3
spewpa,bug,"shed-skin, friend-guard",45,22,60,27,30,29,84,0.3
vivillon,"bug, flying","shield-dust, compound-eyes, friend-guard",80,52,50,90,50,89,170,1.2
litleo,"fire, normal","rivalry, unnerve, moxie",62,50,58,73,54,72,135,0.6
pyroar,"fire, normal","rivalry, unnerve, moxie",86,68,72,109,66,106,815,1.5
flabebe,fairy,"flower-veil, symbiosis",44,38,39,61,79,42,1,0.1
floette,fairy,"flower-veil, symbiosis",54,45,47,75,98,52,9,0.2
florges,fairy,"flower-veil, symbiosis",78,65,68,112,154,75,100,1.1
skiddo,grass,"sap-sipper, grass-pelt",66,65,48,62,57,52,310,0.9
gogoat,grass,"sap-sipper, grass-pelt",123,100,62,97,81,68,910,1.7
pancham,fighting,"iron-fist, mold-breaker, scrappy",67,82,62,46,48,43,80,0.6
pangoro,"fighting, dark","iron-fist, mold-breaker, scrappy",95,124,78,69,71,58,1360,2.1
furfrou,normal,fur-coat,75,80,60,65,90,102,280,1.2
espurr,psychic,"keen-eye, infiltrator, own-tempo",62,48,54,63,60,68,35,0.3
